#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iDzF3iMinusF4iDzF4i.real 	 TraceF3iDzF3iMinusF4iDzF4i.imag 	 AvgTraceF3iDzF3iMinusF4iDzF4i.real 	 AvgTraceF3iDzF3iMinusF4iDzF4i.imag 	 TraceF4iDzF3iPlusF3iDzF4i.real 	 TraceF4iDzF3iPlusF3iDzF4i.imag 	 AvgTraceF4iDzF3iPlusF3iDzF4i.real 	 AvgTraceF4iDzF3iPlusF3iDzF4i.imag 
81 	 -1.016748e-02 	 -3.843260e-04 	 -3.416110e-02 	 3.586804e-07 	 6.120997e-03 	 -2.260752e-03 	 3.857820e-04 	 5.376460e-05 
82 	 -9.090340e-03 	 -1.073524e-03 	 -3.385536e-02 	 -1.273745e-05 	 2.766985e-03 	 -2.513913e-03 	 4.148210e-04 	 2.245146e-05 
83 	 -1.190422e-02 	 -7.471241e-04 	 -3.359089e-02 	 -2.158548e-05 	 1.882544e-03 	 -1.607218e-03 	 4.325044e-04 	 2.816891e-06 
84 	 -7.987595e-03 	 -5.816145e-04 	 -3.328609e-02 	 -2.825249e-05 	 2.971101e-03 	 -2.249224e-03 	 4.627258e-04 	 -2.399312e-05 
85 	 -1.262520e-02 	 1.108314e-03 	 -3.304302e-02 	 -1.488112e-05 	 2.138089e-03 	 -2.124778e-03 	 4.824360e-04 	 -4.870823e-05 
86 	 -1.065066e-02 	 -3.282404e-04 	 -3.278265e-02 	 -1.852483e-05 	 3.106768e-03 	 -1.681185e-03 	 5.129515e-04 	 -6.769052e-05 
87 	 -1.287969e-02 	 -2.261176e-03 	 -3.255388e-02 	 -4.430243e-05 	 2.916196e-03 	 -4.265468e-05 	 5.405750e-04 	 -6.740275e-05 
88 	 -8.573032e-03 	 2.352211e-04 	 -3.228137e-02 	 -4.112603e-05 	 1.834096e-03 	 -3.110329e-04 	 5.552741e-04 	 -7.017127e-05 
89 	 -1.238963e-02 	 -4.696113e-04 	 -3.205786e-02 	 -4.594047e-05 	 -1.912425e-03 	 -7.758244e-04 	 5.275471e-04 	 -7.809996e-05 
90 	 -1.303144e-02 	 8.309424e-04 	 -3.184646e-02 	 -3.619733e-05 	 -1.853392e-04 	 -9.504665e-04 	 5.196262e-04 	 -8.779292e-05 
91 	 -1.429410e-02 	 1.388462e-04 	 -3.165358e-02 	 -3.427377e-05 	 -2.035767e-03 	 2.269038e-03 	 4.915449e-04 	 -6.189368e-05 
92 	 -1.339911e-02 	 3.516376e-04 	 -3.145516e-02 	 -3.007908e-05 	 -2.937482e-03 	 1.123771e-03 	 4.542729e-04 	 -4.900602e-05 
93 	 -1.610132e-02 	 1.971622e-03 	 -3.129006e-02 	 -8.555414e-06 	 -2.625338e-03 	 1.580991e-03 	 4.211588e-04 	 -3.147916e-05 
94 	 -1.124208e-02 	 1.674978e-03 	 -3.107679e-02 	 9.354515e-06 	 -4.377702e-03 	 1.414328e-03 	 3.701071e-04 	 -1.609823e-05 
95 	 -1.076493e-02 	 6.191229e-04 	 -3.086298e-02 	 1.577313e-05 	 -4.859782e-03 	 1.332525e-03 	 3.150556e-04 	 -1.902201e-06 
96 	 -9.268480e-03 	 -3.494269e-04 	 -3.063803e-02 	 1.196896e-05 	 -4.225247e-03 	 2.986220e-03 	 2.677608e-04 	 2.922407e-05 
97 	 -9.876309e-03 	 -1.562877e-04 	 -3.042400e-02 	 1.023436e-05 	 -4.134730e-03 	 1.663052e-03 	 2.223743e-04 	 4.606766e-05 
98 	 -7.432363e-03 	 7.136667e-04 	 -3.018939e-02 	 1.741224e-05 	 -6.867055e-03 	 3.297402e-04 	 1.500332e-04 	 4.896228e-05 
99 	 -6.067212e-03 	 1.962829e-04 	 -2.994573e-02 	 1.921901e-05 	 -2.301899e-03 	 -1.651740e-03 	 1.252662e-04 	 3.178347e-05 
100 	 -6.162735e-03 	 -4.961827e-04 	 -2.970790e-02 	 1.406500e-05 	 -2.164870e-03 	 -1.663634e-04 	 1.023648e-04 	 2.980200e-05 
101 	 -4.685540e-03 	 6.537192e-04 	 -2.946015e-02 	 2.039821e-05 	 -4.325353e-03 	 9.972804e-04 	 5.852604e-05 	 3.938099e-05 
102 	 -7.241156e-03 	 -1.401362e-03 	 -2.924232e-02 	 6.459385e-06 	 -3.680927e-03 	 -2.460442e-04 	 2.186473e-05 	 3.658270e-05 
103 	 -7.009868e-03 	 -2.179644e-03 	 -2.902647e-02 	 -1.476492e-05 	 -5.454097e-03 	 -1.603630e-03 	 -3.129995e-05 	 2.065831e-05 
104 	 -9.914439e-03 	 -2.169606e-03 	 -2.884270e-02 	 -3.548455e-05 	 -1.533456e-03 	 -1.712089e-03 	 -4.574376e-05 	 3.997274e-06 
105 	 -6.151152e-03 	 -2.699848e-03 	 -2.862659e-02 	 -6.085944e-05 	 6.442994e-04 	 -2.089710e-03 	 -3.917192e-05 	 -1.594280e-05 
106 	 -4.896140e-03 	 -2.455292e-03 	 -2.840272e-02 	 -8.344843e-05 	 1.983410e-04 	 -3.618094e-03 	 -3.693123e-05 	 -4.992536e-05 
107 	 -5.462884e-03 	 -2.510669e-03 	 -2.818833e-02 	 -1.061327e-04 	 4.834841e-04 	 -1.563008e-03 	 -3.206753e-05 	 -6.406632e-05 
108 	 -3.543755e-03 	 -4.012461e-03 	 -2.796014e-02 	 -1.423024e-04 	 -2.268017e-04 	 -1.907646e-03 	 -3.387063e-05 	 -8.113650e-05 
109 	 -7.237539e-03 	 -3.195109e-03 	 -2.777002e-02 	 -1.703098e-04 	 1.736604e-03 	 -5.720119e-04 	 -1.762774e-05 	 -8.563994e-05 
110 	 -2.815853e-03 	 -1.560362e-03 	 -2.754317e-02 	 -1.829467e-04 	 2.209446e-03 	 -1.347348e-03 	 2.618387e-06 	 -9.711002e-05 
111 	 -2.331810e-03 	 -2.571919e-03 	 -2.731604e-02 	 -2.044690e-04 	 4.577685e-04 	 -1.282733e-03 	 6.718838e-06 	 -1.077913e-04 
112 	 -3.648844e-03 	 -6.225350e-04 	 -2.710472e-02 	 -2.082017e-04 	 3.583673e-03 	 2.279412e-04 	 3.865593e-05 	 -1.047937e-04 
113 	 -4.082945e-03 	 -2.014969e-04 	 -2.690099e-02 	 -2.081424e-04 	 -7.549993e-04 	 -5.137764e-04 	 3.163243e-05 	 -1.084130e-04 
114 	 -7.038884e-03 	 6.763451e-05 	 -2.672676e-02 	 -2.057233e-04 	 -2.356159e-03 	 -2.770177e-03 	 1.068689e-05 	 -1.317618e-04 
115 	 -4.794104e-03 	 1.207148e-03 	 -2.653604e-02 	 -1.934374e-04 	 1.176808e-03 	 -1.954415e-03 	 2.082708e-05 	 -1.476110e-04 
116 	 -4.000451e-03 	 1.242298e-03 	 -2.634177e-02 	 -1.810604e-04 	 2.047006e-03 	 -1.476885e-03 	 3.829414e-05 	 -1.590702e-04 
117 	 -4.765663e-03 	 1.095749e-03 	 -2.615736e-02 	 -1.701475e-04 	 2.217882e-03 	 -1.736152e-03 	 5.692310e-05 	 -1.725496e-04 
118 	 -8.784931e-03 	 -8.259453e-04 	 -2.601013e-02 	 -1.757051e-04 	 1.390338e-03 	 -1.948211e-04 	 6.822322e-05 	 -1.727383e-04 
119 	 -1.041961e-02 	 9.859755e-04 	 -2.587912e-02 	 -1.659431e-04 	 1.204063e-03 	 -7.755010e-06 	 7.776810e-05 	 -1.713519e-04 
120 	 -1.204239e-02 	 -1.295403e-03 	 -2.576382e-02 	 -1.753552e-04 	 2.060287e-03 	 -2.069741e-03 	 9.428908e-05 	 -1.871718e-04 
