#Beta=5.9000, ml=0.006600, ms=0.132000, u0=1.000, Nt=4, Ns=16^3 
#Iters 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
78 	 7.469961e-03 	 -1.650746e-19 	 4.632118e-03 	 2.525477e-21 	 7.081868e-04 	 2.861094e-19 	 7.919448e-05 	 -1.072799e-20 
79 	 6.144523e-03 	 7.531983e-20 	 4.651262e-03 	 3.446925e-21 	 -5.206807e-04 	 1.044493e-19 	 7.160112e-05 	 -9.270047e-21 
80 	 8.647592e-03 	 -3.769740e-19 	 4.701216e-03 	 -1.308337e-21 	 -1.378982e-03 	 7.796550e-20 	 5.346883e-05 	 -8.179603e-21 
81 	 2.217422e-03 	 -1.484700e-19 	 4.670552e-03 	 -3.125147e-21 	 -3.919374e-03 	 -3.838136e-19 	 4.421387e-06 	 -1.281706e-20 
82 	 4.337250e-03 	 5.588810e-20 	 4.666487e-03 	 -2.405474e-21 	 -2.805647e-03 	 -2.743249e-19 	 -2.984774e-05 	 -1.600618e-20 
83 	 8.194383e-04 	 -4.160460e-21 	 4.620137e-03 	 -2.426618e-21 	 -2.866078e-03 	 2.527335e-19 	 -6.401919e-05 	 -1.276835e-20 
84 	 4.132129e-04 	 -1.760982e-19 	 4.570055e-03 	 -4.494137e-21 	 -3.186014e-03 	 -1.907801e-19 	 -1.011858e-04 	 -1.488754e-20 
85 	 2.812548e-04 	 -6.177729e-21 	 4.519598e-03 	 -4.513944e-21 	 -2.980487e-03 	 -2.663394e-19 	 -1.350599e-04 	 -1.784580e-20 
86 	 2.551017e-03 	 5.797073e-19 	 4.496708e-03 	 2.279327e-21 	 2.241128e-04 	 4.290478e-19 	 -1.308835e-04 	 -1.264936e-20 
87 	 6.820473e-04 	 3.587110e-20 	 4.452861e-03 	 2.665439e-21 	 -5.769392e-04 	 -5.455661e-19 	 -1.360106e-04 	 -1.877484e-20 
88 	 7.488260e-03 	 4.388647e-20 	 4.487354e-03 	 3.133860e-21 	 1.882260e-03 	 1.389271e-19 	 -1.130757e-04 	 -1.698277e-20 
89 	 5.106152e-03 	 -2.498394e-19 	 4.494307e-03 	 2.914631e-22 	 1.758075e-03 	 -3.013646e-19 	 -9.205151e-05 	 -2.017808e-20 
90 	 7.879047e-03 	 3.256485e-19 	 4.531915e-03 	 3.906541e-21 	 3.169963e-05 	 -1.011493e-19 	 -9.067650e-05 	 -2.107776e-20 
91 	 8.370440e-03 	 -2.260982e-19 	 4.574097e-03 	 1.379016e-21 	 -1.427013e-04 	 -9.946599e-20 	 -9.124820e-05 	 -2.193917e-20 
92 	 3.834115e-03 	 -8.973204e-21 	 4.566054e-03 	 1.266492e-21 	 2.734744e-03 	 -2.440299e-19 	 -6.053090e-05 	 -2.435319e-20 
93 	 3.602549e-03 	 3.714614e-21 	 4.555693e-03 	 1.292816e-21 	 6.511893e-03 	 1.951538e-19 	 1.014033e-05 	 -2.199290e-20 
94 	 -6.694667e-04 	 1.258391e-19 	 4.500107e-03 	 2.617776e-21 	 5.336370e-04 	 -4.133297e-20 	 1.570944e-05 	 -2.219865e-20 
95 	 1.819319e-03 	 -2.869411e-20 	 4.471888e-03 	 2.288177e-21 	 4.256441e-03 	 1.943213e-20 	 6.034873e-05 	 -2.176043e-20 
96 	 2.282202e-03 	 2.712485e-19 	 4.449079e-03 	 5.089847e-21 	 3.288055e-03 	 -2.062372e-19 	 9.397066e-05 	 -2.368206e-20 
97 	 4.543335e-03 	 1.006138e-19 	 4.450050e-03 	 6.074630e-21 	 2.308481e-03 	 -9.257971e-20 	 1.168007e-04 	 -2.439235e-20 
98 	 1.179087e-02 	 -3.636875e-19 	 4.524957e-03 	 2.301547e-21 	 8.629695e-04 	 -1.200661e-19 	 1.244146e-04 	 -2.536861e-20 
99 	 1.203573e-02 	 9.970963e-20 	 4.600823e-03 	 3.285467e-21 	 1.563703e-03 	 7.256963e-19 	 1.389529e-04 	 -1.778210e-20 
100 	 5.455587e-03 	 -1.290199e-19 	 4.609371e-03 	 1.962413e-21 	 2.249631e-03 	 -3.991527e-19 	 1.600597e-04 	 -2.159580e-20 
101 	 6.427342e-03 	 -1.608651e-20 	 4.627370e-03 	 1.783711e-21 	 -2.296805e-05 	 1.100589e-19 	 1.582475e-04 	 -2.029229e-20 
102 	 7.382364e-03 	 -2.614300e-19 	 4.654380e-03 	 -7.968155e-22 	 5.708983e-03 	 -5.343504e-20 	 2.126665e-04 	 -2.061722e-20 
103 	 6.811186e-03 	 3.014376e-19 	 4.675320e-03 	 2.137499e-21 	 8.136514e-03 	 3.848582e-20 	 2.895971e-04 	 -2.004340e-20 
104 	 4.461778e-03 	 8.509232e-20 	 4.673267e-03 	 2.935142e-21 	 4.492774e-03 	 -1.760125e-19 	 3.300122e-04 	 -2.154311e-20 
105 	 2.755293e-03 	 -1.068724e-19 	 4.655000e-03 	 1.889356e-21 	 1.810427e-03 	 2.590080e-19 	 3.441114e-04 	 -1.887119e-20 
106 	 6.377229e-03 	 1.487641e-19 	 4.671248e-03 	 3.274966e-21 	 1.499077e-03 	 -3.310369e-19 	 3.550073e-04 	 -2.181615e-20 
107 	 4.169202e-03 	 -8.796973e-19 	 4.666556e-03 	 -4.977111e-21 	 -1.122583e-03 	 -9.361079e-20 	 3.411981e-04 	 -2.248713e-20 
108 	 8.396368e-03 	 -2.063967e-19 	 4.701091e-03 	 -6.842107e-21 	 -2.394375e-03 	 1.074590e-19 	 3.158687e-04 	 -2.128392e-20 
109 	 5.952785e-03 	 -1.520958e-19 	 4.712574e-03 	 -8.174710e-21 	 -1.163876e-03 	 -2.408911e-19 	 3.022930e-04 	 -2.329867e-20 
110 	 9.594415e-03 	 -4.839587e-19 	 4.756955e-03 	 -1.250002e-20 	 2.395090e-03 	 2.979629e-20 	 3.213185e-04 	 -2.281599e-20 
111 	 1.055837e-02 	 -1.819858e-20 	 4.809220e-03 	 -1.255136e-20 	 -9.507992e-04 	 -2.586503e-19 	 3.098579e-04 	 -2.494062e-20 
112 	 1.074567e-02 	 5.641824e-20 	 4.862224e-03 	 -1.193556e-20 	 -4.529984e-03 	 -1.383472e-19 	 2.666451e-04 	 -2.595318e-20 
113 	 1.171322e-02 	 -8.816284e-20 	 4.922852e-03 	 -1.261013e-20 	 -8.467158e-03 	 -1.334056e-19 	 1.893548e-04 	 -2.690409e-20 
114 	 4.266849e-03 	 1.393366e-19 	 4.917098e-03 	 -1.127727e-20 	 -5.449110e-03 	 2.912834e-19 	 1.398946e-04 	 -2.411297e-20 
115 	 5.915199e-03 	 2.277035e-19 	 4.925777e-03 	 -9.199175e-21 	 -5.810142e-03 	 1.582099e-19 	 8.815512e-05 	 -2.252755e-20 
116 	 4.910196e-03 	 -3.024590e-19 	 4.925642e-03 	 -1.172728e-20 	 -6.241308e-03 	 -2.033198e-19 	 3.359079e-05 	 -2.408610e-20 
117 	 5.389906e-03 	 2.323306e-20 	 4.929611e-03 	 -1.142847e-20 	 -8.879422e-04 	 -4.096949e-19 	 2.571444e-05 	 -2.738191e-20 
118 	 5.242119e-03 	 -2.588400e-19 	 4.932259e-03 	 -1.352518e-20 	 2.372074e-03 	 6.865599e-22 	 4.559884e-05 	 -2.714404e-20 
119 	 2.709441e-03 	 -8.690912e-20 	 4.913580e-03 	 -1.414185e-20 	 2.725043e-03 	 1.343217e-19 	 6.811518e-05 	 -2.578718e-20 
120 	 8.757403e-03 	 5.878244e-20 	 4.945612e-03 	 -1.353415e-20 	 4.761284e-03 	 -1.389614e-19 	 1.072249e-04 	 -2.673030e-20 
121 	 7.689592e-03 	 -1.543564e-19 	 4.968289e-03 	 -1.469797e-20 	 2.156895e-03 	 -5.621110e-19 	 1.241643e-04 	 -3.115494e-20 
122 	 6.429591e-03 	 3.263983e-19 	 4.980267e-03 	 -1.190210e-20 	 -6.973547e-04 	 9.935763e-20 	 1.174306e-04 	 -3.008516e-20 
123 	 7.339777e-03 	 1.403281e-19 	 4.999450e-03 	 -1.066445e-20 	 -4.865803e-03 	 2.043802e-19 	 7.691649e-05 	 -2.817894e-20 
124 	 4.553174e-03 	 1.145343e-20 	 4.995851e-03 	 -1.048608e-20 	 9.548497e-04 	 -2.265888e-19 	 8.399659e-05 	 -2.977902e-20 
125 	 4.807950e-03 	 -2.927656e-19 	 4.994348e-03 	 -1.274432e-20 	 -6.688882e-04 	 -2.371070e-19 	 7.797352e-05 	 -3.143764e-20 
126 	 5.256732e-03 	 -1.049379e-19 	 4.996430e-03 	 -1.347601e-20 	 -3.377685e-03 	 -1.136102e-20 	 5.054765e-05 	 -3.127830e-20 
127 	 5.206408e-03 	 -2.104081e-19 	 4.998084e-03 	 -1.502666e-20 	 -1.260195e-03 	 -1.572669e-19 	 4.022684e-05 	 -3.227034e-20 
