#Beta=5.440000e+00, Nt=6, Ns=12^3 
#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 AvgTraceF3iF3iMinusF4iF4i.real 	 AvgTraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 	 AvgTraceF4iF3iPlusF3iF4i.real 	 AvgTraceF4iF3iPlusF3iF4i.imag 
98 	 2.732669e-02 	 1.718463e-18 	 4.601432e-03 	 4.898028e-20 	 7.806194e-02 	 -3.613338e-18 	 2.445094e-02 	 1.271527e-19 
99 	 -1.815115e-02 	 -4.069081e-18 	 4.371608e-03 	 7.383702e-21 	 8.025053e-02 	 1.417494e-18 	 2.501458e-02 	 1.401864e-19 
100 	 2.673718e-03 	 3.825290e-18 	 4.354629e-03 	 4.556276e-20 	 7.617440e-02 	 3.143517e-18 	 2.552617e-02 	 1.702197e-19 
101 	 2.940959e-03 	 -1.526914e-18 	 4.340633e-03 	 2.999368e-20 	 5.134180e-02 	 -2.590039e-19 	 2.578177e-02 	 1.659700e-19 
102 	 4.598405e-03 	 8.497152e-19 	 4.343160e-03 	 3.803017e-20 	 4.298295e-02 	 -2.819595e-18 	 2.595041e-02 	 1.366998e-19 
103 	 -3.512444e-02 	 -1.362351e-18 	 3.959979e-03 	 2.443424e-20 	 6.328006e-02 	 -3.067891e-18 	 2.631284e-02 	 1.055872e-19 
104 	 -1.221459e-02 	 -2.014378e-18 	 3.804455e-03 	 4.830277e-21 	 6.648609e-02 	 -6.275657e-18 	 2.669912e-02 	 4.422912e-20 
105 	 -3.418314e-02 	 3.622854e-18 	 3.442668e-03 	 3.928765e-20 	 6.910864e-02 	 -1.541307e-18 	 2.710302e-02 	 2.912877e-20 
106 	 -5.598025e-02 	 1.002190e-18 	 2.882074e-03 	 4.837163e-20 	 4.898466e-02 	 8.553150e-19 	 2.730945e-02 	 3.692298e-20 
107 	 -3.253648e-02 	 -3.009477e-19 	 2.551060e-03 	 4.510697e-20 	 3.013362e-02 	 1.513867e-18 	 2.733584e-02 	 5.072620e-20 
108 	 -4.646645e-02 	 6.238998e-18 	 2.097194e-03 	 1.024578e-19 	 2.889738e-03 	 1.643704e-18 	 2.710949e-02 	 6.547600e-20 
109 	 -3.254470e-02 	 1.668900e-18 	 1.779378e-03 	 1.168288e-19 	 2.933373e-02 	 -9.945213e-19 	 2.712990e-02 	 5.575125e-20 
110 	 -1.896774e-02 	 3.901878e-18 	 1.590768e-03 	 1.512384e-19 	 1.711095e-02 	 -6.938225e-18 	 2.703881e-02 	 -7.830349e-21 
111 	 -1.805079e-02 	 1.666422e-18 	 1.413817e-03 	 1.648887e-19 	 2.167488e-03 	 2.311961e-18 	 2.681475e-02 	 1.306867e-20 
112 	 -4.531951e-03 	 -5.161718e-18 	 1.360730e-03 	 1.173297e-19 	 1.048860e-03 	 1.201825e-18 	 2.658470e-02 	 2.368256e-20 
113 	 3.751904e-03 	 -4.730875e-19 	 1.381891e-03 	 1.121048e-19 	 -1.193093e-02 	 -1.602377e-18 	 2.624385e-02 	 9.292654e-21 
114 	 1.003556e-02 	 -1.331138e-18 	 1.457800e-03 	 9.944473e-20 	 9.688054e-04 	 2.552727e-18 	 2.602214e-02 	 3.160348e-20 
115 	 1.306167e-02 	 -3.195142e-18 	 1.558704e-03 	 7.079615e-20 	 -4.388983e-03 	 -2.631449e-18 	 2.575769e-02 	 8.446505e-21 
116 	 2.085773e-02 	 7.484216e-19 	 1.725074e-03 	 7.663775e-20 	 -7.019899e-03 	 -1.940186e-18 	 2.547513e-02 	 -8.352055e-21 
117 	 1.193363e-02 	 3.671355e-18 	 1.812327e-03 	 1.073618e-19 	 6.427742e-03 	 1.305727e-18 	 2.531233e-02 	 2.879394e-21 
118 	 1.092889e-02 	 8.770592e-18 	 1.889586e-03 	 1.807790e-19 	 3.306671e-02 	 6.569462e-18 	 2.537805e-02 	 5.852840e-20 
119 	 2.045035e-02 	 -2.208542e-18 	 2.045559e-03 	 1.607007e-19 	 3.781411e-02 	 -2.227299e-18 	 2.548255e-02 	 3.931976e-20 
120 	 1.042768e-02 	 -1.922265e-18 	 2.115410e-03 	 1.433427e-19 	 1.761583e-02 	 7.482334e-19 	 2.541699e-02 	 4.522738e-20 
121 	 -1.437423e-02 	 4.473863e-18 	 1.979132e-03 	 1.791321e-19 	 5.060640e-02 	 -2.665330e-18 	 2.562517e-02 	 2.282607e-20 
122 	 -4.423331e-02 	 1.718885e-18 	 1.600341e-03 	 1.917530e-19 	 3.277276e-02 	 -3.023385e-18 	 2.568376e-02 	 -2.142868e-21 
123 	 -4.992219e-02 	 2.377304e-18 	 1.181459e-03 	 2.095217e-19 	 2.365220e-02 	 -3.078599e-18 	 2.566724e-02 	 -2.715470e-20 
124 	 -2.336797e-02 	 1.322770e-20 	 9.834798e-04 	 2.079387e-19 	 5.319168e-02 	 -4.310038e-19 	 2.588921e-02 	 -3.041155e-20 
125 	 -2.957552e-02 	 -1.767818e-18 	 7.390079e-04 	 1.921326e-19 	 1.008480e-01 	 2.844358e-19 	 2.648888e-02 	 -2.789277e-20 
126 	 -8.684851e-04 	 -2.843551e-18 	 7.262500e-04 	 1.680399e-19 	 7.166128e-02 	 9.329493e-19 	 2.684739e-02 	 -2.026704e-20 
127 	 1.276832e-02 	 -1.669915e-18 	 8.210694e-04 	 1.535678e-19 	 7.189600e-02 	 4.730334e-18 	 2.720211e-02 	 1.713926e-20 
128 	 -1.249444e-02 	 3.797714e-18 	 7.170420e-04 	 1.820377e-19 	 6.960145e-02 	 -4.189571e-19 	 2.753335e-02 	 1.373226e-20 
129 	 -2.107452e-02 	 2.250735e-19 	 5.481152e-04 	 1.823713e-19 	 6.836630e-02 	 -1.911408e-18 	 2.784989e-02 	 -1.191310e-21 
130 	 -3.090490e-02 	 -2.356801e-18 	 3.061689e-04 	 1.628392e-19 	 4.589932e-03 	 -2.036225e-19 	 2.767096e-02 	 -2.748473e-21 
131 	 -4.068857e-02 	 3.257133e-18 	 -6.768058e-06 	 1.864598e-19 	 1.080331e-02 	 4.258171e-18 	 2.754220e-02 	 2.977763e-20 
132 	 -4.085980e-02 	 -1.050856e-18 	 -3.162607e-04 	 1.770862e-19 	 -3.530414e-04 	 -2.917307e-18 	 2.733088e-02 	 7.451228e-21 
133 	 -2.847129e-03 	 2.538422e-18 	 -3.352898e-04 	 1.948406e-19 	 3.253764e-02 	 -4.362241e-18 	 2.737002e-02 	 -2.540360e-20 
134 	 -7.303031e-03 	 -3.501454e-18 	 -3.872879e-04 	 1.672563e-19 	 -7.422664e-03 	 1.082864e-18 	 2.711038e-02 	 -1.713295e-20 
135 	 -2.309556e-02 	 3.539248e-19 	 -5.554973e-04 	 1.686390e-19 	 -2.002238e-02 	 -2.208560e-19 	 2.676125e-02 	 -1.864201e-20 
136 	 8.523984e-03 	 3.311752e-18 	 -4.887364e-04 	 1.917502e-19 	 -5.664893e-02 	 -1.496467e-18 	 2.614794e-02 	 -2.950836e-20 
137 	 1.147670e-03 	 -2.526795e-18 	 -4.767918e-04 	 1.719068e-19 	 -1.672407e-02 	 -1.620949e-18 	 2.583500e-02 	 -4.112472e-20 
138 	 1.013541e-02 	 -3.560310e-19 	 -3.998918e-04 	 1.680811e-19 	 -4.038250e-03 	 -4.574396e-18 	 2.561853e-02 	 -7.397451e-20 
139 	 3.619467e-02 	 5.268273e-18 	 -1.366216e-04 	 2.047732e-19 	 -2.839105e-02 	 -3.156902e-18 	 2.522997e-02 	 -9.615385e-20 
140 	 -1.377531e-02 	 2.301208e-18 	 -2.340408e-04 	 2.197477e-19 	 -3.024030e-02 	 2.137618e-18 	 2.483375e-02 	 -8.019833e-20 
141 	 2.121184e-02 	 -1.385793e-18 	 -8.194239e-05 	 2.083609e-19 	 -4.306902e-02 	 3.306482e-18 	 2.435217e-02 	 -5.617932e-20 
142 	 2.891094e-02 	 -2.675573e-18 	 1.222329e-04 	 1.880515e-19 	 -3.595922e-02 	 -6.357976e-19 	 2.392745e-02 	 -6.026114e-20 
143 	 1.179040e-02 	 -5.680443e-18 	 2.038284e-04 	 1.470131e-19 	 -2.149859e-02 	 6.294396e-19 	 2.360978e-02 	 -5.543806e-20 
