#Iter 	 TraceF3iF3iMinusF4iF4i.real 	 TraceF3iF3iMinusF4iF4i.imag 	 TraceF4iF3iPlusF3iF4i.real 	 TraceF4iF3iPlusF3iF4i.imag 
213 	 6.297710e-02 	 1.815579e-18 	 -1.520849e-02 	 -1.659766e-19 
214 	 4.249234e-02 	 -6.219732e-19 	 -1.357773e-03 	 1.677167e-18 
215 	 1.961412e-02 	 -7.290993e-19 	 3.631368e-02 	 5.809182e-19 
216 	 3.256109e-02 	 2.935377e-18 	 6.565687e-02 	 3.587237e-19 
217 	 3.256109e-02 	 2.935377e-18 	 6.565687e-02 	 3.587237e-19 
218 	 1.767836e-02 	 -7.589258e-19 	 6.231879e-02 	 -3.560466e-19 
219 	 5.102015e-02 	 4.665361e-18 	 6.558583e-02 	 2.681058e-18 
220 	 2.168902e-02 	 -2.610895e-18 	 5.105032e-02 	 2.179113e-18 
221 	 8.760444e-03 	 -1.519925e-18 	 5.432782e-02 	 -1.025977e-18 
222 	 -1.123940e-02 	 3.450974e-18 	 5.988702e-02 	 -2.470241e-18 
223 	 7.932630e-03 	 -3.354867e-18 	 -1.453076e-02 	 5.815875e-19 
224 	 9.800237e-03 	 4.421964e-18 	 -3.297309e-02 	 1.528926e-18 
225 	 4.462814e-02 	 1.358382e-18 	 -2.205023e-03 	 1.305058e-19 
226 	 4.462814e-02 	 1.358382e-18 	 -2.205023e-03 	 1.305058e-19 
227 	 9.348437e-03 	 -3.184948e-19 	 -5.562132e-02 	 -4.273229e-18 
228 	 9.348437e-03 	 -3.184948e-19 	 -5.562132e-02 	 -4.273229e-18 
229 	 9.543544e-03 	 -2.789630e-18 	 -5.064906e-02 	 -8.067937e-19 
230 	 9.543544e-03 	 -2.789630e-18 	 -5.064906e-02 	 -8.067937e-19 
231 	 9.543544e-03 	 -2.789630e-18 	 -5.064906e-02 	 -8.067937e-19 
232 	 4.185335e-02 	 -1.225071e-18 	 -8.305132e-02 	 1.679844e-19 
233 	 6.655103e-03 	 -1.856173e-18 	 -3.966267e-02 	 -7.950816e-19 
234 	 4.320684e-03 	 -1.975657e-18 	 -3.212254e-02 	 3.350319e-18 
235 	 1.117028e-02 	 2.218633e-18 	 -8.181012e-02 	 -2.569961e-19 
236 	 4.371983e-02 	 4.265829e-18 	 -7.654427e-02 	 -1.099595e-18 
237 	 4.582059e-02 	 1.834820e-19 	 -4.780763e-02 	 -2.911284e-18 
238 	 3.740738e-02 	 -3.294501e-19 	 -5.325728e-02 	 2.507218e-19 
239 	 -2.246956e-02 	 5.932080e-19 	 -6.765470e-02 	 5.275279e-18 
240 	 -5.470852e-03 	 -9.825844e-20 	 -7.464562e-02 	 1.962272e-18 
241 	 -5.470852e-03 	 -9.825844e-20 	 -7.464562e-02 	 1.962272e-18 
242 	 -6.095924e-03 	 -4.571391e-18 	 -6.290665e-02 	 3.562767e-20 
243 	 -1.098262e-02 	 -1.922171e-18 	 -4.387230e-02 	 6.431594e-18 
244 	 -2.220259e-02 	 -2.203985e-19 	 -3.758757e-02 	 -3.453385e-18 
245 	 -2.220259e-02 	 -2.203985e-19 	 -3.758757e-02 	 -3.453385e-18 
246 	 1.047698e-02 -3.510812e-02 	 -3.810122e-18 	 6.747937e-02 	 1.184591e-18 
247 	 -3.967812e-02 	 1.984828e-18 	 8.222188e-02 	 4.490739e-19 
248 	 -3.905646e-02 	 -4.319170e-18 	 7.675318e-02 	 -2.204544e-18 
249 	 -3.905646e-02 	 -4.319170e-18 	 7.675318e-02 	 -2.204544e-18 
250 	 -1.430714e-02 	 -2.243704e-18 	 6.015573e-02 	 4.975953e-19 
251 	 5.860695e-03 	 2.469289e-18 	 1.801659e-02 	 1.919439e-18 
252 	 5.860695e-03 	 2.469289e-18 	 1.801659e-02 	 1.919439e-18 
253 	 5.860695e-03 	 2.469289e-18 	 1.801659e-02 	 1.919439e-18 
254 	 -5.231408e-03 	 -2.539190e-19 	 -1.183531e-02 	 -3.482832e-18 
255 	 -2.672830e-02 	 4.204421e-18 	 4.606354e-02 	 -1.207346e-18 
256 	 -3.771105e-02 	 9.177478e-19 	 3.856175e-03 	 3.265992e-19 
257 	 -1.184166e-02 	 1.603925e-18 	 6.465205e-02 	 3.091984e-19 
258 	 -1.808218e-02 	 -1.518166e-19 	 6.398299e-02 	 -6.143812e-19 
259 	 -1.808218e-02 	 -1.518166e-19 	 6.398299e-02 	 -6.143812e-19 
260 	 -1.808218e-02 	 -1.518166e-19 	 6.398299e-02 	 -6.143812e-19 
261 	 -1.808218e-02 	 -1.518166e-19 	 6.398299e-02 	 -6.143812e-19 
262 	 -3.226301e-02 	 -5.236964e-19 	 5.778049e-02 	 1.966957e-18 
263 	 1.709514e-02 	 -6.361139e-19 	 6.880846e-02 	 -6.900077e-19 
264 	 1.709514e-02 	 -6.361139e-19 	 6.880846e-02 	 -6.900077e-19 
265 	 1.709514e-02 	 -6.361139e-19 	 6.880846e-02 	 -6.900077e-19 
266 	 -7.925333e-03 	 1.351195e-18 	 5.694596e-02 	 1.804996e-18 
267 	 8.625672e-04 	 -2.517753e-19 	 2.879869e-02 	 1.482412e-19 
268 	 -1.106142e-02 	 -2.459365e-18 	 4.861770e-02 	 -3.918521e-18 
269 	 -3.646374e-02 	 1.376010e-18 	 3.635940e-02 	 8.844279e-19 
270 	 -3.646374e-02 	 1.376010e-18 	 3.635940e-02 	 8.844279e-19 
271 	 -7.657277e-03 	 -9.282435e-19 	 3.040972e-02 	 -3.631408e-18 
272 	 -7.657277e-03 	 -9.282435e-19 	 3.040972e-02 	 -3.631408e-18 
273 	 -7.657277e-03 	 -9.282435e-19 	 3.040972e-02 	 -3.631408e-18 
274 	 -7.657277e-03 	 -9.282435e-19 	 3.040972e-02 	 -3.631408e-18 
275 	 -7.657277e-03 	 -9.282435e-19 	 3.040972e-02 	 -3.631408e-18 
276 	 -1.915835e-03 	 3.678833e-18 	 4.847202e-02 	 -2.573976e-18 
277 	 2.808291e-02 	 4.700928e-19 	 3.387073e-02 	 6.642411e-18 
278 	 2.808291e-02 	 4.700928e-19 	 3.387073e-02 	 6.642411e-18 
279 	 2.808291e-02 	 4.700928e-19 	 3.387073e-02 	 6.642411e-18 
280 	 2.808291e-02 	 4.700928e-19 	 3.387073e-02 	 6.642411e-18 
281 	 2.808291e-02 	 4.700928e-19 	 3.387073e-02 	 6.642411e-18 
282 	 2.808291e-02 	 4.700928e-19 	 3.387073e-02 	 6.642411e-18 
283 	 2.808291e-02 	 4.700928e-19 	 3.387073e-02 	 6.642411e-18 
